RentalID,VehicleID,LocationID,ReturnLocationID,StartDate,EndDate,ActualReturnDate,RentalDays,DailyRate,TotalAmount,Status,BookingDate,CustomerType,PaymentStatus,DiscountAmount,TaxAmount,InsuranceAmount,ExtraFees,CreatedDate,ModifiedDate
55,6,56,56,2025-10-31,2025-11-07,NULL,8,399.00,3192.00,Completed,2026-02-18 20:37:26.7400000,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7400000,2026-02-18 20:37:26.7400000
56,7,57,57,2025-10-29,2025-10-30,NULL,2,459.00,918.00,Completed,2026-02-18 20:37:26.7400000,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7400000,2026-02-18 20:37:26.7400000
57,8,58,58,2025-10-27,2025-10-29,NULL,3,449.00,1347.00,Active,2026-02-18 20:37:26.7400000,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7400000,2026-02-18 20:37:26.7400000
58,9,59,59,2025-10-25,2025-10-28,NULL,4,479.00,1916.00,Active,2026-02-18 20:37:26.7400000,Corporate,Pending,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7400000,2026-02-18 20:37:26.7400000
59,10,60,60,2025-10-23,2025-10-27,NULL,5,429.00,2145.00,Cancelled,2026-02-18 20:37:26.7400000,Government,Pending,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7400000,2026-02-18 20:37:26.7400000
60,11,61,62,2025-10-21,2025-10-26,NULL,6,599.00,3594.00,Completed,2026-02-18 20:37:26.7400000,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7400000,2026-02-18 20:37:26.7400000
61,12,62,62,2025-10-19,2025-10-25,NULL,7,619.00,4333.00,Completed,2026-02-18 20:37:26.7433333,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7433333,2026-02-18 20:37:26.7433333
62,13,63,63,2025-10-17,2025-10-24,NULL,8,649.00,5192.00,Completed,2026-02-18 20:37:26.7433333,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7433333,2026-02-18 20:37:26.7433333
63,14,64,64,2025-10-15,2025-10-16,NULL,2,679.00,1358.00,Completed,2026-02-18 20:37:26.7433333,Corporate,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7433333,2026-02-18 20:37:26.7433333
64,15,65,65,2025-10-13,2025-10-15,NULL,3,699.00,2097.00,Completed,2026-02-18 20:37:26.7433333,Government,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7433333,2026-02-18 20:37:26.7433333
65,16,66,66,2025-10-11,2025-10-14,NULL,4,899.00,3596.00,Completed,2026-02-18 20:37:26.7433333,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7433333,2026-02-18 20:37:26.7433333
66,17,67,67,2025-10-09,2025-10-13,NULL,5,919.00,4595.00,Completed,2026-02-18 20:37:26.7433333,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7433333,2026-02-18 20:37:26.7433333
67,18,68,68,2025-10-07,2025-10-12,NULL,6,949.00,5694.00,Active,2026-02-18 20:37:26.7433333,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7433333,2026-02-18 20:37:26.7433333
68,19,69,69,2025-10-05,2025-10-11,NULL,7,979.00,6853.00,Active,2026-02-18 20:37:26.7433333,Corporate,Pending,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7433333,2026-02-18 20:37:26.7433333
69,20,70,70,2025-10-03,2025-10-10,NULL,8,1099.00,8792.00,Cancelled,2026-02-18 20:37:26.7633333,Government,Pending,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7633333,2026-02-18 20:37:26.7633333
70,21,71,72,2025-10-01,2025-10-02,NULL,2,1499.00,2998.00,Completed,2026-02-18 20:37:26.7633333,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7633333,2026-02-18 20:37:26.7633333
71,22,72,72,2025-09-29,2025-10-01,NULL,3,1599.00,4797.00,Completed,2026-02-18 20:37:26.7633333,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7633333,2026-02-18 20:37:26.7633333
72,23,73,73,2025-09-27,2025-09-30,NULL,4,1549.00,6196.00,Completed,2026-02-18 20:37:26.7633333,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7633333,2026-02-18 20:37:26.7633333
73,24,74,74,2025-09-25,2025-09-29,NULL,5,1649.00,8245.00,Completed,2026-02-18 20:37:26.7633333,Corporate,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7633333,2026-02-18 20:37:26.7633333
74,25,75,75,2025-09-23,2025-09-28,NULL,6,1899.00,11394.00,Completed,2026-02-18 20:37:26.7633333,Government,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7633333,2026-02-18 20:37:26.7633333
75,26,76,76,2025-09-21,2025-09-27,NULL,7,329.00,2303.00,Completed,2026-02-18 20:37:26.7633333,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7633333,2026-02-18 20:37:26.7633333
76,27,77,77,2025-09-19,2025-09-26,NULL,8,289.00,2312.00,Completed,2026-02-18 20:37:26.7666667,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7666667,2026-02-18 20:37:26.7666667
77,28,78,78,2025-09-17,2025-09-18,NULL,2,389.00,778.00,Active,2026-02-18 20:37:26.7666667,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7666667,2026-02-18 20:37:26.7666667
78,29,79,79,2025-09-15,2025-09-17,NULL,3,369.00,1107.00,Active,2026-02-18 20:37:26.7666667,Corporate,Pending,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7666667,2026-02-18 20:37:26.7666667
79,30,1,1,2025-09-13,2025-09-16,NULL,4,629.00,2516.00,Cancelled,2026-02-18 20:37:26.7666667,Government,Pending,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7666667,2026-02-18 20:37:26.7666667
80,31,2,3,2025-09-11,2025-09-15,NULL,5,799.00,3995.00,Completed,2026-02-18 20:37:26.7666667,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7666667,2026-02-18 20:37:26.7666667
81,32,3,3,2025-09-09,2025-09-14,NULL,6,849.00,5094.00,Completed,2026-02-18 20:37:26.7666667,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7666667,2026-02-18 20:37:26.7666667
82,33,4,4,2025-09-07,2025-09-13,NULL,7,879.00,6153.00,Completed,2026-02-18 20:37:26.7666667,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7666667,2026-02-18 20:37:26.7666667
83,34,5,5,2025-09-05,2025-09-12,NULL,8,829.00,6632.00,Completed,2026-02-18 20:37:26.7666667,Corporate,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7666667,2026-02-18 20:37:26.7666667
84,35,6,6,2025-09-03,2025-09-04,NULL,2,1199.00,2398.00,Completed,2026-02-18 20:37:26.7700000,Government,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7700000,2026-02-18 20:37:26.7700000
85,36,7,7,2025-09-01,2025-09-03,NULL,3,699.00,2097.00,Completed,2026-02-18 20:37:26.7700000,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7700000,2026-02-18 20:37:26.7700000
86,37,8,8,2025-08-30,2025-09-02,NULL,4,899.00,3596.00,Completed,2026-02-18 20:37:26.7700000,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7700000,2026-02-18 20:37:26.7700000
87,38,9,9,2025-08-28,2025-09-01,NULL,5,949.00,4745.00,Active,2026-02-18 20:37:26.7700000,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7700000,2026-02-18 20:37:26.7700000
88,39,10,10,2025-08-26,2025-08-31,NULL,6,919.00,5514.00,Active,2026-02-18 20:37:26.7700000,Corporate,Pending,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7700000,2026-02-18 20:37:26.7700000
89,40,11,11,2025-08-24,2025-08-30,NULL,7,789.00,5523.00,Cancelled,2026-02-18 20:37:26.7700000,Government,Pending,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7700000,2026-02-18 20:37:26.7700000
90,41,12,13,2025-08-22,2025-08-29,NULL,8,1399.00,11192.00,Completed,2026-02-18 20:37:26.7700000,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7700000,2026-02-18 20:37:26.7700000
91,42,13,13,2025-08-20,2025-08-21,NULL,2,1699.00,3398.00,Completed,2026-02-18 20:37:26.7700000,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7700000,2026-02-18 20:37:26.7700000
92,43,14,14,2025-08-18,2025-08-20,NULL,3,1299.00,3897.00,Completed,2026-02-18 20:37:26.7700000,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7700000,2026-02-18 20:37:26.7700000
93,44,15,15,2025-08-16,2025-08-19,NULL,4,1199.00,4796.00,Completed,2026-02-18 20:37:26.7700000,Corporate,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7700000,2026-02-18 20:37:26.7700000
94,45,16,16,2025-08-14,2025-08-18,NULL,5,1149.00,5745.00,Completed,2026-02-18 20:37:26.7700000,Government,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7700000,2026-02-18 20:37:26.7700000
95,46,17,17,2025-08-12,2025-08-17,NULL,6,289.00,1734.00,Completed,2026-02-18 20:37:26.7733333,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7733333,2026-02-18 20:37:26.7733333
96,47,18,18,2025-08-10,2025-08-16,NULL,7,269.00,1883.00,Completed,2026-02-18 20:37:26.7733333,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7733333,2026-02-18 20:37:26.7733333
97,48,19,19,2025-08-08,2025-08-15,NULL,8,489.00,3912.00,Active,2026-02-18 20:37:26.7733333,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7733333,2026-02-18 20:37:26.7733333
98,49,20,20,2025-08-06,2025-08-07,NULL,2,529.00,1058.00,Active,2026-02-18 20:37:26.7733333,Corporate,Pending,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7733333,2026-02-18 20:37:26.7733333
99,50,21,21,2025-08-04,2025-08-06,NULL,3,579.00,1737.00,Cancelled,2026-02-18 20:37:26.7733333,Government,Pending,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7733333,2026-02-18 20:37:26.7733333
100,1,22,23,2025-08-02,2025-08-05,NULL,4,299.00,1196.00,Completed,2026-02-18 20:37:26.7733333,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7733333,2026-02-18 20:37:26.7733333
101,49,1,15,2023-03-21,2023-03-21,NULL,1,440.66,440.66,Cancelled,2023-03-08 00:00:00.0000000,Individual,Paid,0.00,132.25,89.93,0.00,2026-02-18 20:51:57.9700000,2026-02-18 20:51:57.9700000
102,6,4,4,2025-01-13,2025-01-14,NULL,2,284.89,569.77,Completed,2024-12-16 00:00:00.0000000,Corporate,Paid,0.00,199.50,0.00,140.00,2026-02-18 20:51:57.9700000,2026-02-18 20:51:57.9700000
103,31,3,3,2021-05-30,2021-06-01,NULL,3,826.97,2480.90,Completed,2021-05-13 00:00:00.0000000,Individual,Paid,0.00,599.25,0.00,0.00,2026-02-18 20:51:57.9700000,2026-02-18 20:51:57.9700000
104,12,2,12,2025-01-15,2025-01-16,NULL,2,441.97,883.93,Completed,2025-01-10 00:00:00.0000000,Individual,Paid,0.00,309.50,235.22,0.00,2026-02-18 20:51:57.9700000,2026-02-18 20:51:57.9700000
105,18,1,1,2024-09-28,2024-09-30,NULL,3,1138.80,3416.40,Completed,2024-09-26 00:00:00.0000000,Corporate,Paid,0.00,711.75,284.70,0.00,2026-02-18 20:51:57.9700000,2026-02-18 20:51:57.9700000
106,24,3,3,2024-11-15,2024-11-16,NULL,2,1319.20,2638.40,Completed,2024-10-26 00:00:00.0000000,Individual,Paid,0.00,824.50,0.00,0.00,2026-02-18 20:51:57.9700000,2026-02-18 20:51:57.9700000
107,9,3,3,2021-03-10,2021-03-10,NULL,1,366.44,366.44,Completed,2021-03-05 00:00:00.0000000,Individual,Paid,0.00,119.75,91.01,0.00,2026-02-18 20:51:57.9700000,2026-02-18 20:51:57.9700000
108,5,2,1,2024-08-24,2024-08-30,NULL,7,418.60,2930.20,Completed,2024-08-01 00:00:00.0000000,Individual,Paid,0.00,523.25,397.67,0.00,2026-02-18 20:51:57.9700000,2026-02-18 20:51:57.9700000
109,24,2,2,2023-05-21,2023-05-22,NULL,2,1858.42,3716.85,Completed,2023-04-14 00:00:00.0000000,Corporate,Paid,0.00,824.50,0.00,0.00,2026-02-18 20:51:57.9700000,2026-02-18 20:51:57.9700000
110,16,7,7,2022-07-16,2022-07-17,NULL,2,1238.37,2476.75,Cancelled,2022-07-10 00:00:00.0000000,Corporate,Paid,0.00,449.50,179.80,249.00,2026-02-18 20:51:57.9700000,2026-02-18 20:51:57.9700000
111,42,2,2,2022-09-23,2022-09-23,NULL,1,1936.86,1936.86,Cancelled,2022-09-09 00:00:00.0000000,Government,Paid,0.00,424.75,220.87,114.00,2026-02-18 20:51:57.9700000,2026-02-18 20:51:57.9700000
112,24,3,3,2020-01-27,2020-01-28,NULL,2,981.16,1962.31,Completed,2020-01-16 00:00:00.0000000,Corporate,Paid,230.86,824.50,362.78,0.00,2026-02-18 20:51:57.9700000,2026-02-18 20:51:57.9700000
113,22,1,1,2022-10-05,2022-10-06,NULL,2,1519.05,3038.10,Completed,2022-09-20 00:00:00.0000000,Individual,Paid,31.98,799.50,543.66,241.00,2026-02-18 20:51:57.9700000,2026-02-18 20:51:57.9700000
114,35,1,32,2024-08-07,2024-08-09,NULL,3,1678.60,5035.80,Cancelled,2024-07-10 00:00:00.0000000,Individual,Paid,143.88,899.25,683.43,0.00,2026-02-18 20:51:57.9700000,2026-02-18 20:51:57.9700000
115,10,2,2,2024-12-04,2024-12-05,NULL,2,386.10,772.20,Cancelled,2024-11-30 00:00:00.0000000,Corporate,Refunded,0.00,214.50,137.28,240.00,2026-02-18 20:51:57.9700000,2026-02-18 20:51:57.9700000
116,49,4,4,2023-03-17,2023-03-18,NULL,2,440.66,881.31,Completed,2023-02-03 00:00:00.0000000,Individual,Paid,0.00,264.50,158.70,216.00,2026-02-18 20:51:57.9700000,2026-02-18 20:51:57.9700000
117,29,1,1,2020-06-19,2020-06-19,NULL,1,423.43,423.43,Completed,2020-06-09 00:00:00.0000000,Individual,Paid,0.00,92.25,70.11,0.00,2026-02-18 20:51:57.9700000,2026-02-18 20:51:57.9700000
118,3,4,4,2020-09-27,2020-09-27,NULL,1,294.78,294.78,Completed,2020-09-09 00:00:00.0000000,Individual,Paid,0.00,72.25,0.00,94.00,2026-02-18 20:51:57.9700000,2026-02-18 20:51:57.9700000
